original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
8,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.Bind,2025-11-03 19:38:00,success,,CreateTestContext,github.com/gin-gonic/gin,Go,v1.8.2,,CreateTestContextOnly,API Deprecation,"Introduced in version v1.8.2, the replacement `CreateTestContextOnly` provides more clarity by emphasizing testing context creation independent of the engine.",https://github.com/gin-gonic/gin/releases/tag/v1.8.2
7,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.AsciiJSON,2025-11-03 19:38:00,success,,CreateTestContext,github.com/gin-gonic/gin,Go,,,CreateTestContextOnly,API Deprecation,"Introduced `CreateTestContextOnly` for better test context creation specific to an Engine instance, reducing dependency on implicit engine initialization.",https://gin-gonic.com
11,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.BindQuery,2025-11-03 19:38:08,success,,Gin Web Framework,github.com/gin-gonic/gin,Go,v1.3.0,,This version introduces new methods and utilities but does not directly replace deprecated functionality.,API Deprecation,"Enhancements in usability and flexibility of the framework by introducing new methods, offering better performance and streamlined functionality.",https://gin-gonic.com/docs/
12,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.BindTOML,2025-11-03 19:38:09,success,,Bind,github.com/gin-gonic/gin,Go,,,ShouldBind,API Deprecation,Improved functionality for binding data with better error handling and performance.,https://gin-gonic.com/docs/examples/binding-data/
21,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.Data,2025-11-03 19:38:18,success,,Gin Web Framework,github.com/gin-gonic/gin,Go,v1.7.5,,Engine.SetTrustedProxies,API Deprecation,Deprecation of `AppEngine` setting. Users are encouraged to use `TrustedPlatform` with value `gin.PlatformGoogleAppEngine` for better integration with Google App Engine.,https://gin-gonic.com/docs/releases/v1.7.5/
25,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.DefaultQuery,2025-11-03 19:39:10,success,,CreateTestContext,github.com/gin-gonic/gin,Go,,,CreateTestContextOnly,API Deprecation,To improve testing functionality and provide a more focused API method for testing purposes.,https://gin-gonic.com
30,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.FileAttachment,2025-11-03 19:39:13,success,,gin package,github.com/gin-gonic/gin,Go,1.7.5,,Engine.SetTrustedProxies,API Deprecation,AppEngine was deprecated to utilize TrustedPlatform for better header handling. It ensured better integration with cloud platforms like Google App Engine.,https://gin-gonic.com/
36,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.GetDuration,2025-11-03 19:40:11,success,,CreateTestContext,github.com/gin-gonic/gin,Go,,,CreateTestContextOnly,API Optimization,"Creation optimized to use testing contexts more effectively, providing better test isolation and performance.",https://gin-gonic.com/docs
44,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.GetQuery,2025-11-03 19:40:18,success,,CreateTestContext,github.com/gin-gonic/gin,Go,,,CreateTestContextOnly,API Deprecation,Simplification and clearer naming for test context creation APIs.,https://gin-gonic.com/docs/api
41,https://pkg.go.dev/github.com/gin-gonic/gin@v1.9.1#Context.GetPostForm,2025-11-03 19:40:13,success,,Gin web framework,github.com/gin-gonic/gin,Go,v1.7.0,,CustomRecovery(handle RecoveryFunc),API Deprecation,"CustomRecovery was introduced to replace the older recovery mechanisms, providing more flexible and robust error handling for panic recovery. The improvement allows developers to specify custom recovery behavior.",https://github.com/gin-gonic/gin
