original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
3,https://wg21.cmeerw.net/cwg/issue2227,2025-11-03 17:06:29,success,,,,,,,,,,
8,https://wg21.cmeerw.net/cwg/issue1912,2025-11-03 17:06:29,success,,,,,,,,,,
10,https://wg21.cmeerw.net/cwg/issue2295,2025-11-03 17:06:31,success,,,,,,,,,The clarification relates to whether a class with a deleted non-user-provided default constructor should be considered an aggregate. Adopted at the June 2018 meeting as part of paper P1008R1.,https://cmeerw.org/issues/2295
2,https://wg21.cmeerw.net/cwg/issue1910,2025-11-03 17:06:29,success,,basic.stc.dynamic.allocation,WG21 CWG Issues,C++,,,,Behavior Change,"To clarify the runtime behavior of allocation and deallocation functions, and to remove inappropriate use of 'shall' for runtime constraints.",https://cmeerw.org/issues/1910
9,https://wg21.cmeerw.net/cwg/issue2229,2025-11-03 17:06:29,success,,Unnamed bit-fields,WG21 CWG Issues,C++,,,,Behavior Change,Unnamed volatile bit-fields were not explicitly prohibited by the standard despite not being members. This change explicitly disallows the use of cv-qualified types (like `volatile`) for unnamed bit-fields.,https://cmeerw.org/issues/2229
6,https://wg21.cmeerw.net/cwg/issue2404,2025-11-03 17:06:29,success,,non-static data member allocation,Standard Library,C++,N/A,N/A,[[no_unique_address]] attribute considerations,Behavior Change,"The [[no_unique_address]] attribute alters allocation behavior within class objects, making the previous guarantee of strict address ordering inaccurate.",https://wg21.cmeerw.org/2404
5,https://wg21.cmeerw.net/cwg/issue2353,2025-11-03 17:06:29,success,,member access expression for static data member,,C++,,,,Behavior Change,"Improper handling of expressions resulting in incorrect odr-use rules. Specifically, the potential results of 'x.n' did not include the member 'X::n', leading to unexpected behavior and requiring the member to be defined.",WG21 CWG Issue 2353: https://cmeerw.org/issues/2353
11,https://wg21.cmeerw.net/cwg/issue2354,2025-11-03 17:06:31,success,,alignas,WG21 CWG Issues (C++ Standard),C++,"November, 2018",,,API Deprecation,"Permission for `alignas` applied to enumerations was removed due to inconsistencies in object representation and alignment requirements, causing confusion regarding the behavior of extended alignment on enumeration types.",https://cmeerw.org/issues/2354
4,https://wg21.cmeerw.net/cwg/issue2294,2025-11-03 17:06:29,success,,Dependent auto static data members,,C++,,,,Behavior Change,"The change ensures type-dependent identifiers associated with static data members declared with the `auto` type specifier are correctly recognized in dependent contexts, improving code correctness and clarity.",https://cmeerw.org/issues/2294
7,https://wg21.cmeerw.net/cwg/issue555,2025-11-03 17:06:29,success,,pseudo-destructor name lookup,WG21,C++,,,,Behavior Change,"The standard did not completely specify the lookup behavior for pseudo-destructor names, leading to incorrect and/or misplaced guidance in certain sections. The changes aimed to clarify and correct the standard's description.",https://cmeerw.org/issues/555/
13,https://wg21.cmeerw.net/cwg/issue581,2025-11-03 17:06:36,success,,,,,,,,Behavior Change,Clarification of the rules for explicit instantiation and specialization of templated constructors to address implementation divergence and avoid ambiguity when specifying template arguments.,https://wg21.cmeerw.org/issues/581
15,https://wg21.cmeerw.net/cwg/issue2233,2025-11-03 17:06:36,success,,Function parameter packs following default arguments,,,,,,Behavior Change,"To address the issue that parameter packs following default arguments lead to ill-formed function templates, restricting their usability.",https://cmeerw.org/issues/2233
12,https://wg21.cmeerw.net/cwg/issue2406,2025-11-03 17:06:34,success,,[[fallthrough]] attribute,,C++,,,,Behavior Change,Clarification of the usage and restrictions of the [[fallthrough]] attribute with iteration statements to resolve implementation divergence.,https://wg21.cmeerw.org/issues/cwg/2406
14,https://wg21.cmeerw.net/cwg/issue1913,2025-11-03 17:06:36,success,,decltype((x)) in lambda-expressions,WG21 CWG Issues,C++,,,,Behavior Change,The original formulation assumed that variables with automatic storage duration could always be captured and would become members of the closure type. This was problematic as it did not hold true if the lambda expression had no capture-default or if the capture-default was `&`. The behavior change ensures proper handling of `decltype((x))` in these cases.,https://cmeerw.org/issues/1913 (WG21 CWG Issues)
17,https://wg21.cmeerw.net/cwg/issue2356,2025-11-03 17:06:37,success,,Base class copy and move constructors,,C++,"February, 2018",,,Behavior Change,Base class copy and move constructors brought into a derived class via a using-declaration should not be considered by overload resolution when constructing a derived class object.,https://wg21.cmeerw.org/cwg/issue2356
19,https://wg21.cmeerw.net/cwg/issue682,2025-11-03 17:06:38,success,,lookup of template aliases,WG21 CWG Specification,C++,,,,Behavior Change,"The original specification did not account for template aliases as potential lookup results, which could lead to ambiguity or incorrect behavior.",https://cmeerw.org/roundup/cwg/issue682
18,https://wg21.cmeerw.net/cwg/issue2411,2025-11-03 17:06:38,success,,Comparison of pointers to members in template non-type arguments,WG21 CWG,C++,C++17,,Updated semantics for pointers-to-members in non-type template arguments,Behavior Change,"Previous behavior where pointers-to-members were compared using '==' was unsound and caused semantic inconsistencies. Updated rules limit equality comparisons to cases where the pointers-to-members denote the same member, ensuring sound behavior.",https://cplusplus.github.io/ (Adopted at the November 2019 meeting as part of paper P1907R1)
16,https://wg21.cmeerw.net/cwg/issue2299,2025-11-03 17:06:37,success,,constexpr vararg functions,,C++,,,,Behavior Change,Introduction of new constraints for constexpr functions to clarify incompatibility with vararg usage and undefined behavior for certain operations.,https://wg21.cmeerw.org/issues/2299
21,https://wg21.cmeerw.net/cwg/issue2234,2025-11-03 17:06:41,success,,,,,March 2018,,,Behavior Change,Modification of clause rules to explicitly require a class declaration with simple-template-id as class-name to be either an explicit or partial specialization. This change clarifies behavior and resolves ambiguity in example usage.,https://cmeerw.org/issues/2234
20,https://wg21.cmeerw.net/cwg/issue1931,2025-11-03 17:06:40,success,,Lambda Closure Type,,C++,,,,Behavior Change,"To ensure consistency in behavior for lambda expressions without lambda captures, making them default-constructible and copy-assignable. These characteristics align with their ability to convert to a function pointer.",https://wg21.cmeerw.org/issues/1931
24,https://wg21.cmeerw.net/cwg/issue2414,2025-11-03 17:06:43,success,,operator<=>,standard library,C++,,,implicitly-declared operator==,Behavior Change,"Ambiguity existed when both member and friend `operator<=>` were declared, leading to unclear results regarding how the `operator==` should be implicitly declared. Resolved to ensure consistency and clarity in comparison operations.","https://cmeerw.org/issues/2414 (webpage content discusses changes, resolved by paper P2002R1)"
23,https://wg21.cmeerw.net/cwg/issue2358,2025-11-03 17:06:43,success,,lambda-expression in default arguments,,C++,2018-04-15,,,Behavior Change,"Due to concerns about capturing entities implicitly or explicitly in default arguments, CWG proposed restrictions similar to those for local classes odr-using variables with automatic storage duration.",https://cmeerw.org/issues/2358
25,https://wg21.cmeerw.net/cwg/issue943,2025-11-03 17:06:43,success,,T(),,C++,,,,Behavior Change,"The specification in [expr.type.conv] failed to clearly state whether `T()` creates a temporary object, leading to ambiguity regarding its lifetime. The resolution clarified that `T()` creates an `rvalue` instead of a temporary when T is not a class type, per the standard's intent.",https://wg21.cmeerw.org/cwg/issue943
26,https://wg21.cmeerw.net/cwg/issue1937,2025-11-03 17:06:43,success,,Function Pointer Conversion from Lambda,N/A,C++,,,,Behavior Change,"The previous specification of function pointer conversion from lambda did not mention the object for which the function call operator would be invoked, causing ambiguity. The change addresses this issue by clarifying the behavior and explicitly specifying the use of a default-constructed temporary instance of the closure type.",https://cmeerw.org/issues/1937
