original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
9,https://docs.djangoproject.com/en/4.2/ref/django-admin/,2025-11-03 16:07:03,success,,django-admin,django,Python,,,manage.py,Behavior Change,Behavior recommendation: `manage.py` is a preferred entry point due to its automatic handling of the `DJANGO_SETTINGS_MODULE` environment variable.,https://docs.djangoproject.com/en/4.2/ref/django-admin/#usage
3,https://docs.djangoproject.com/en/4.2/ref/checks/,2025-11-03 16:07:03,success,,NullBooleanField,django.db.models.fields,Python,3.1,4.0,BooleanField with null=True,API Deprecation,Enhance clarity and compatibility with database features. Switching to `BooleanField` allows support for null values without needing a separate field type.,https://docs.djangoproject.com/en/4.2/ref/checks/
10,https://docs.djangoproject.com/en/4.2/ref/django-admin/#running-management-commands-from-your-code,2025-11-03 16:07:09,success,,django-admin,django.core.management,Python,4.0,,manage.py,API Deprecation,"django-admin is recommended for general administrative tasks but manage.py provides project-specific settings configurations, particularly setting `DJANGO_SETTINGS_MODULE` for project context.",https://docs.djangoproject.com/en/4.2/ref/django-admin/
11,https://docs.djangoproject.com/en/4.2/ref/exceptions/,2025-11-03 16:07:11,success,,SuspiciousOperation,django.core.exceptions,Python,3.2,,,Behavior Change,"The SuspiciousOperation exception was updated to be raised when too many files are submitted, enhancing security.",https://docs.djangoproject.com/en/4.2/ref/exceptions/#suspiciousoperation
16,https://docs.djangoproject.com/en/4.2/ref/migration-operations/,2025-11-03 16:07:12,success,,AlterIndexTogether,django.db.migrations.operations,Python,4.2,,"AddIndex, RemoveIndex",API Deprecation,"AlterIndexTogether is officially supported only for pre-Django 4.2 migrations. For future migrations, developers are encouraged to use AddIndex and RemoveIndex for better flexibility and compatibility.",https://docs.djangoproject.com/en/4.2/ref/migration-operations/#alterindextogether
21,https://docs.djangoproject.com/en/4.2/ref/settings/,2025-11-03 16:07:16,success,,CSRF_COOKIE_MASKED,django.middleware.csrf,Python,4.1,5.0,,API Deprecation,The `CSRF_COOKIE_MASKED` setting will no longer be supported in favor of removing transitional behavior associated with masked cookies.,https://docs.djangoproject.com/en/4.2/ref/settings/#csrf-cookie-masked
28,https://docs.djangoproject.com/en/4.2/ref/urls/#module-django.conf.urls,2025-11-03 16:07:22,success,,re_path,django.urls,Python,2.2.25,,path,Behavior Change,"Prior to Django 2.2.25, `re_path` did not require a full match for a route ending with `$`. This behavior was changed to enforce stricter matching with `re.fullmatch()`.",https://docs.djangoproject.com/en/4.2/ref/urls/
27,https://docs.djangoproject.com/en/4.2/ref/urls/,2025-11-03 16:07:21,success,,re_path,django.urls,Python,2.2.25,,,Behavior Change,"Prior to Django 2.2.25, `re_path` did not require a full match when the route ended with `$`. This behavior was changed to require `re.fullmatch()` for routes ending with `$`, ensuring stricter URL pattern matching.",https://docs.djangoproject.com/en/4.2/ref/urls/#django.urls.re_path
29,https://docs.djangoproject.com/en/4.2/ref/utils/,2025-11-03 16:07:22,success,,cached_property,django.utils.functional,Python,4.1,5.0,,API Deprecation,The 'name' parameter is unnecessary as of Python 3.6 and will no longer be supported.,https://docs.djangoproject.com/en/4.2/ref/utils/#django.utils.functional.cached_property
30,https://docs.djangoproject.com/en/4.2/ref/validators/,2025-11-03 16:07:24,success,,EmailValidator,django.core.validators,Python,3.2.20,,,Behavior Change,"Values longer than 320 characters are now considered invalid, improving consistency and adherence to email validation standards.",https://docs.djangoproject.com/en/4.2/ref/validators/#emailvalidator
