original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
7,https://docs.oracle.com/en/java/javase/17/docs/api/java.logging/module-summary.html,2025-10-16 13:49:43,success,,java.logging,java.util.logging,Java,9,,,,,https://docs.oracle.com/en/java/javase/17/docs/api/java.logging/module-summary.html
8,https://docs.oracle.com/en/java/javase/17/docs/api/java.management/module-summary.html,2025-10-16 13:49:43,success,,java.management,java.lang.management,Java,9,,,Behavior Change,"The JMX API interfaces were updated in Java 9 as part of the module system introduction, which moved Java Management Extensions into their own module (java.management). This modularization improved runtime performance and security by explicitly defining dependencies.",https://docs.oracle.com/en/java/javase/17/docs/api/java.management/module-summary.html
10,https://docs.oracle.com/en/java/javase/17/docs/api/java.naming/module-summary.html,2025-10-16 13:49:48,success,,Java Naming and Directory Interface (JNDI),java.naming,Java,9,,,,,https://docs.oracle.com/en/java/javase/17/docs/api/java.naming/module-summary.html
13,https://docs.oracle.com/en/java/javase/17/docs/api/java.rmi/module-summary.html,2025-10-16 13:49:49,success,,java.rmi,java.rmi,Java,9,,,,,https://docs.oracle.com/en/java/javase/17/docs/api/java.rmi/module-summary.html
16,https://docs.oracle.com/en/java/javase/17/docs/api/java.security.jgss/module-summary.html,2025-10-16 13:49:51,success,,Generic Security Services API (GSS-API),java.security.jgss,Java,9,,,API Deprecation,The module defines the Java binding of the IETF Generic Security Services API (GSS-API) and contains mechanisms like Kerberos v5 and SPNEGO. It was documented as introduced in Java SE 9 and may have updates or changes in usability since then.,https://docs.oracle.com/en/java/javase/17/docs/api/java.security.jgss/module-summary.html
17,https://docs.oracle.com/en/java/javase/17/docs/api/java.security.sasl/module-summary.html,2025-10-16 13:49:53,success,,java.security.sasl,javax.security.sasl,Java,9,,,,No specific reason mentioned in the provided content. Likely included as a part of Java modularization starting from Java 9.,https://docs.oracle.com/en/java/javase/17/docs/api/java.security.sasl/module-summary.html
18,https://docs.oracle.com/en/java/javase/17/docs/api/java.smartcardio/module-summary.html,2025-10-16 13:49:53,success,,Java Smart Card I/O API,javax.smartcardio,Java,9,,,API Deprecation,"While the webpage does not specify the reason for the deprecation, it is common for older modules to be deprecated to make way for newer, more efficient, or better-supported APIs.",https://docs.oracle.com/en/java/javase/17/
22,https://docs.oracle.com/en/java/javase/17/docs/api/java.xml/module-summary.html,2025-10-16 13:49:55,success,,XPathFactory,javax.xml.xpath,Java,17,,DEFAULT_OBJECT_MODEL_URI (platform default XPathFactory),API Deprecation,Introduction of platform defaults for XPathFactory emphasizing use of standardized object models.,https://docs.oracle.com/en/java/javase/17/docs/api/java.xml-summary.html
29,https://docs.oracle.com/en/java/javase/17/docs/api/jdk.crypto.ec/module-summary.html,2025-10-16 13:50:01,success,,SunEC security provider,jdk.crypto.ec,Java,9,,,,,https://docs.oracle.com/en/java/javase/17/docs/api/jdk.crypto.ec/module-summary.html
31,https://docs.oracle.com/en/java/javase/17/docs/api/jdk.editpad/module-summary.html,2025-10-16 13:50:02,success,,jdk.editpad,jdk.editpad,Java,9,,jdk.jshell,API Deprecation,Replaced by `jdk.jshell` to provide a more modern and versatile solution for the edit pad service.,https://www.oracle.com/java/technologies/javase/
30,https://docs.oracle.com/en/java/javase/17/docs/api/jdk.dynalink/module-summary.html,2025-10-16 13:50:02,success,,jdk.dynalink,jdk.dynalink,Java,9,,,,"Module introduced to enable dynamic linking of high-level operations on objects, providing support for dynamic languages on the JVM.",https://docs.oracle.com/en/java/javase/17/docs/api/jdk.dynalink/module-summary.html
35,https://docs.oracle.com/en/java/javase/17/docs/api/jdk.incubator.vector/module-summary.html,2025-10-16 13:50:05,success,,jdk.incubator.vector,jdk.incubator.vector,Java,17,future release,,API Deprecation,"Incubating feature intended for experimentation; the API will be potentially restructured or replaced in subsequent releases, to align with finalized stable features.",https://docs.oracle.com/en/java/javase/17/docs/api/jdk.incubator.vector/module-summary.html
